ID,SMILES,E(ZPE),G4MP2(0 K),G4MP2 Energy,G4MP2 Enthalpy,G4MP2 Free Energy
09051,N1NC2NCCNC2N1,0.175126,-432.102695,-432.095202,-432.094258,-432.13464
09086,NC1CC(ONN1)CN,0.181918,-453.165445,-453.155939,-453.154995,-453.199637
09071,N1NNC2C1CNCC2,0.186198,-416.056352,-416.048759,-416.047814,-416.088599
09091,NC1CCC(O)ONN1,0.170361,-473.029583,-473.020607,-473.019663,-473.063304
09060,N1NCC2CNCC2N1,0.186003,-416.061265,-416.053561,-416.052616,-416.093387
09069,N1NNC2C1CCCC2,0.197252,-400.028501,-400.020683,-400.019739,-400.060588
09082,N1NNCC2NCCC12,0.185624,-416.064886,-416.057168,-416.056223,-416.096883
09087,NC1CC(ONN1)CO,0.170217,-473.029986,-473.020796,-473.019852,-473.063926
09061,N1NCC2NCCC2N1,0.185499,-416.062097,-416.054281,-416.053336,-416.094763
09070,N1NNC2C1CCNC2,0.18632,-416.051248,-416.043543,-416.042599,-416.0833
09067,N1NCNC2CNCC12,0.186715,-416.077012,-416.06942,-416.068475,-416.108921
09075,N1NNC2CCNC2N1,0.174847,-432.059954,-432.05239,-432.051445,-432.091971
09073,N1NNC2C1NCNC2,0.17537,-432.091977,-432.084278,-432.083334,-432.124124
09072,N1NNC2C1NCCC2,0.186346,-416.07031,-416.062531,-416.061587,-416.102689
09077,N1NNC2NCCC2N1,0.174637,-432.086291,-432.078614,-432.07767,-432.118569
09098,NC1CCNNCC1O,0.195305,-437.160026,-437.151003,-437.150059,-437.193135
09096,NC1CCNNOC1O,0.169406,-473.026268,-473.01691,-473.015966,-473.060074
09099,NC1CCNNNC1N,0.195738,-433.303051,-433.293702,-433.292758,-433.337392
09058,N1NCC2C1NCCN2,0.186592,-416.081412,-416.073854,-416.07291,-416.113146
09081,N1NNCC2CNCC12,0.185729,-416.04777,-416.039878,-416.038934,-416.080307
09076,N1NNC2CNCC2N1,0.175015,-432.071726,-432.063995,-432.063051,-432.10435
09062,N1NCC2NCNC2N1,0.175069,-432.100506,-432.092985,-432.09204,-432.132297
09054,N1NCC2C1CCNC2,0.197244,-400.040829,-400.033032,-400.032087,-400.073132
09078,N1NNC2NCNC2N1,0.163666,-448.107149,-448.099962,-448.099018,-448.138636
09093,NC1CCCNOC1O,0.182718,-457.024765,-457.015995,-457.015051,-457.057488
09089,NC1CCC(O)NNN1,0.183815,-453.187164,-453.178369,-453.177425,-453.219986
09052,N1NCC2C1CCCC2,0.208729,-384.014947,-384.007094,-384.006149,-384.04697
09056,N1NCC2C1CNCN2,0.186913,-416.086534,-416.079059,-416.078115,-416.118313
09100,NC1CCNNNC1O,0.184004,-453.177225,-453.168463,-453.167519,-453.209985
09095,NC1CCNNNC1O,0.183543,-453.167574,-453.158629,-453.157685,-453.201083
09084,NC1CC(NNN1)CC,0.206056,-417.257807,-417.248017,-417.247073,-417.292703
09057,N1NCC2C1NCCC2,0.197478,-400.04759,-400.0398,-400.038856,-400.079648
09053,N1NCC2C1CCCN2,0.197345,-400.040632,-400.032582,-400.031637,-400.07322
09085,NC1CC(ONN1)CC,0.192805,-437.116945,-437.107238,-437.106294,-437.151865
09097,NC1CCNNCC1N,0.207014,-417.280248,-417.27081,-417.269866,-417.313833
09088,NC1CCC(O)NNC1,0.194463,-437.166751,-437.1575,-437.156556,-437.200378
09059,N1NCC2C1NCNC2,0.186623,-416.075354,-416.067632,-416.066688,-416.107458
09079,N1NNCC2CCCC12,0.197311,-400.021151,-400.013226,-400.012282,-400.05373
09090,NC1CCC(O)ONC1,0.182014,-457.018265,-457.009346,-457.008402,-457.051708
09092,NC1CCCNNC1O,0.194073,-437.148769,-437.139307,-437.138363,-437.182727
09094,NC1CCN(CO)NN1,0.182662,-453.183568,-453.174418,-453.173473,-453.217295
09074,N1NNC2CCCC2N1,0.185918,-416.039625,-416.031998,-416.031054,-416.071622
00854,NCOC(O)CCC,0.184289,-402.978419,-402.96784,-402.966896,-403.014825
00885,CC(CN)(CN)CN,0.20998,-363.228819,-363.218324,-363.21738,-363.26319
00859,CCCC(O)CCN,0.208125,-367.058309,-367.04779,-367.046845,-367.093981
00894,CC(CO)(CC)CN,0.207791,-367.060028,-367.049471,-367.048527,-367.094616
00892,OC(CC)(CN)CN,0.19728,-383.109832,-383.099527,-383.098582,-383.144445
00853,NCNC(O)CCN,0.186527,-399.140181,-399.129819,-399.128875,-399.175998
00870,CC(CCN)CCN,0.220587,-347.180495,-347.169632,-347.168688,-347.217009
00883,CC(CC)(CC)CN,0.230574,-331.144716,-331.133799,-331.132855,-331.179938
00872,CN(CCN)CCN,0.209069,-363.206649,-363.195881,-363.194937,-363.243099
00866,CCCC(N)CCN,0.220319,-347.185548,-347.174666,-347.173722,-347.222157
00876,OC(CCN)CCN,0.197874,-383.099811,-383.089551,-383.088607,-383.135125
00875,OC(CCC)CCN,0.207773,-367.057084,-367.046374,-367.04543,-367.093247
00852,NCNC(O)CCC,0.197361,-383.102945,-383.092453,-383.091508,-383.138713
00858,OCNC(O)CCN,0.174829,-419.018878,-419.00909,-419.008146,-419.053836
00867,CCCC(O)CCN,0.207808,-367.059114,-367.048369,-367.047425,-367.095448
00895,CC(CO)(CN)CN,0.197406,-383.10351,-383.093108,-383.092164,-383.137871
00897,OC(CO)(CC)CN,0.184843,-402.982305,-402.972131,-402.971187,-403.016617
00889,NC(CN)(CN)CN,0.199563,-379.27655,-379.266231,-379.265287,-379.31094
00861,CCCC(N)OCO,0.18495,-402.980747,-402.970535,-402.969591,-403.01672
00898,OC(CO)(CN)CN,0.173972,-419.015248,-419.00517,-419.004225,-419.049423
00874,OC(CCC)CCC,0.218127,-351.018372,-351.007408,-351.006464,-351.054919
00857,OCNC(O)CCC,0.184939,-402.977556,-402.967299,-402.966355,-403.013572
00877,CCCC(O)C(N)O,0.184794,-402.984717,-402.974471,-402.973526,-403.019731
00878,CC(O)C(O)CCC,0.195069,-386.939211,-386.928706,-386.927762,-386.974527
00896,OC(CO)(CC)CC,0.194516,-386.935416,-386.924802,-386.923857,-386.970097
00860,CCCC(N)NCO,0.196495,-383.097848,-383.087096,-383.086152,-383.134401
00881,NC(O)C(O)CCN,0.175576,-419.034444,-419.024945,-419.024001,-419.068606
00873,NC(CCN)CCN,0.209812,-363.226374,-363.215563,-363.214619,-363.262566
00888,NC(CC)(CN)CN,0.209513,-363.230508,-363.219927,-363.218983,-363.265307
00879,CC(O)C(O)CCN,0.184634,-402.980586,-402.970253,-402.969309,-403.015829
00856,OCCC(O)CCC,0.195255,-386.932388,-386.921778,-386.920834,-386.968398
00851,NC(CCN)OCO,0.174018,-419.015542,-419.005164,-419.00422,-419.052122
00862,CCCC(O)NCN,0.197127,-383.104843,-383.094325,-383.093381,-383.140988
00880,NC(O)C(O)CCC,0.184142,-402.982764,-402.972347,-402.971402,-403.018066
00899,CC(CO)(CO)CC,0.195833,-386.932734,-386.922585,-386.921641,-386.967173
00855,NCOC(O)CCN,0.17434,-419.021123,-419.010971,-419.010026,-419.05675
00871,CN(CCC)CCN,0.21947,-347.165845,-347.154865,-347.153921,-347.202815
00900,CC(CO)(CO)CN,0.184798,-402.972095,-402.961809,-402.960865,-403.006589
00891,OC(CC)(CC)CN,0.207153,-367.060974,-367.050237,-367.049293,-367.096069
00864,CCCC(O)OCN,0.185338,-402.977946,-402.967918,-402.966973,-403.01337
00863,CCCC(O)NCO,0.184984,-402.973372,-402.963075,-402.962131,-403.009421
00869,CC(CCC)CCN,0.23095,-331.139348,-331.128337,-331.127393,-331.176065
00750,NC1C(CCN1)CN,0.189527,-362.03672,-362.027968,-362.027024,-362.070314
00736,OCC1NCCCC1,0.188283,-365.853676,-365.845149,-365.844205,-365.886734
